customer_type,year,month,bookings,stays,cancellations,total_nights_stayed,total_weekend_nights_stayed,total_week_nights_stayed,average_lead_time,average_booking_changes,no_deposit,non_refund,refundable,bb,hb,fb,no_meal,parking_required,special_requests,check_out,cancelled,no_show,adr,online,offline,groups_ms,direct_ms,corporate_ms,ta_to,direct_dc,corporate_dc,gds,repeated_guests,previous_cancellations,previous_bookings,city,resort,adults,children,babies,guests
Transient-Party,2016,July,661,575,86,1998,554,1444,165.90468986384266,0.3388804841149773,657,4,0,415,210,6,30,33,422,575,80,6,110.51199199199199,236,244,78,65,38,546,65,50,0,2,3,64,550,111,1235,76.0,7,1318.0
Contract,2016,October,35,30,5,267,80,187,209.71428571428572,0.2,35,0,0,15,20,0,0,1,19,30,5,0,61.662734082396994,2,33,0,0,0,35,0,0,0,0,0,0,2,33,67,1.0,0,68.0
Transient-Party,2017,January,613,534,79,1497,424,1073,39.3442088091354,0.4355628058727569,604,9,0,436,48,0,129,31,223,534,77,2,61.868196392785556,94,32,431,41,15,425,156,32,0,28,5,41,300,313,849,25.0,2,876.0
Transient,2016,August,4398,2681,1717,17013,4604,12409,112.95975443383357,0.2419281491587085,4142,256,0,3345,556,14,483,423,2969,2681,1685,32,150.29903250455513,3131,414,229,566,45,3768,574,55,1,35,73,200,2927,1471,9079,1066.0,72,10217.0
Contract,2017,January,3,3,0,9,2,7,23.666666666666668,0.0,3,0,0,1,2,0,0,1,0,3,0,0,67.27111111111111,0,3,0,0,0,3,0,0,0,0,0,0,0,3,6,0.0,0,6.0
Transient-Party,2016,March,1017,892,125,3063,676,2387,60.10619469026549,0.42084562438544737,928,6,83,730,152,3,132,40,293,892,120,5,73.2894678419849,248,268,341,49,111,751,187,79,0,18,8,165,612,405,1720,33.0,3,1756.0
Group,2015,November,44,43,1,131,42,89,35.11363636363637,0.22727272727272727,44,0,0,41,1,1,1,1,15,43,1,0,60.53748091603054,3,35,0,5,0,38,6,0,0,0,2,1,39,5,81,0.0,0,81.0
Transient,2016,April,4050,2253,1797,13012,3518,9494,77.23975308641975,0.1380246913580247,3171,879,0,3267,354,41,388,282,1800,2253,1754,43,91.76338379956977,2205,727,518,409,148,3381,482,181,6,127,182,545,2783,1267,7534,412.0,22,7968.0
Contract,2016,February,25,14,11,124,40,84,80.68,0.12,25,0,0,18,5,0,2,1,11,14,10,1,61.038387096774194,13,12,0,0,0,25,0,0,0,0,9,0,15,10,45,1.0,0,46.0
Transient-Party,2016,September,1192,992,200,3948,792,3156,218.71057046979865,0.3884228187919463,1183,4,5,813,361,0,18,38,485,992,198,2,93.3010992907802,102,565,415,52,54,971,132,89,0,2,0,22,876,316,2118,16.0,1,2135.0
